#         t         u1         u2         u3        s11        s12        s13        s22        s23        s33
 0.0000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 2.7740e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  1.000e-07  0.000e+00  0.000e+00  0.000e+00
 6.7450e-08  0.000e+00 -1.000e-06  0.000e+00  0.000e+00 -1.000e-06  2.000e-07  0.000e+00  0.000e+00  0.000e+00
 1.2390e-07  0.000e+00 -2.000e-06 -1.000e-06  0.000e+00 -1.000e-06  1.000e-07  0.000e+00 -1.000e-08  1.000e-07
 2.0340e-07  0.000e+00 -3.000e-06 -1.000e-06  1.000e-05 -2.000e-06  1.000e-07  0.000e+00 -1.000e-08 -1.000e-07
 3.1110e-07 -1.000e-05 -3.000e-06 -2.000e-06  1.000e-05 -3.000e-06  1.000e-07  0.000e+00 -1.000e-08 -2.000e-07
 4.5380e-07 -1.000e-05 -4.000e-06 -3.000e-06  1.000e-05 -4.000e-06  1.000e-07  0.000e+00 -1.000e-08 -2.000e-07
 6.4230e-07 -2.000e-05 -5.000e-06 -4.000e-06  2.000e-05 -5.000e-06  0.000e+00  0.000e+00 -1.000e-08 -3.000e-07
 8.9100e-07 -2.000e-05 -5.000e-06 -5.000e-06  3.000e-05 -7.000e-06  1.000e-07  0.000e+00 -3.000e-08 -3.000e-07
 1.2190e-06 -3.000e-05 -5.000e-06 -6.000e-06  4.000e-05 -9.000e-06  1.000e-07  0.000e+00 -4.000e-08 -1.000e-07
 1.6500e-06 -4.000e-05 -5.000e-06 -7.000e-06  5.000e-05 -1.100e-05  2.000e-07  0.000e+00 -5.000e-08  0.000e+00
 2.2160e-06 -5.000e-05 -5.000e-06 -9.000e-06  6.000e-05 -1.400e-05  2.000e-07  0.000e+00 -6.000e-08  1.000e-07
 2.9590e-06 -6.000e-05 -5.000e-06 -1.100e-05  8.000e-05 -1.800e-05  2.000e-07  0.000e+00 -7.000e-08  3.000e-07
 3.9340e-06 -8.000e-05 -4.000e-06 -1.400e-05  1.000e-04 -2.200e-05  2.000e-07  1.000e-05 -9.000e-08  6.000e-07
 5.2160e-06 -9.000e-05 -3.000e-06 -1.600e-05  1.200e-04 -2.700e-05  2.000e-07  1.000e-05 -1.200e-07  8.000e-07
 6.9020e-06 -1.100e-04 -2.000e-06 -1.900e-05  1.500e-04 -3.300e-05  3.000e-07  1.000e-05 -1.500e-07  1.200e-06
 9.1210e-06 -1.400e-04  0.000e+00 -2.300e-05  1.800e-04 -4.000e-05  4.000e-07  1.000e-05 -1.600e-07  1.600e-06
